selection,run,generation,best_fitness,mean_fitness,dna_file
TOURNAMENT,1,168,167120.0771051484,50182.1699883433,
TOURNAMENT,1,169,167120.0771051484,52932.0513753781,
TOURNAMENT,1,170,167120.0771051484,40854.1880686108,tournament/run_01/best_snakes/generation_170.dna
TOURNAMENT,1,171,167120.0771051484,43528.5527182088,
TOURNAMENT,1,172,167120.0771051484,42440.7230129934,
TOURNAMENT,1,173,167120.0771051484,48891.1760073376,
TOURNAMENT,1,174,167120.0771051484,51243.6009539848,
TOURNAMENT,1,175,167120.0771051484,50215.7188477957,tournament/run_01/best_snakes/generation_175.dna
TOURNAMENT,1,176,167120.0771051484,50024.7552569307,
TOURNAMENT,1,177,167120.0771051484,50026.1944081357,
TOURNAMENT,1,178,167120.0771051484,38176.7099878086,
TOURNAMENT,1,179,167120.0771051484,44061.6429418429,
TOURNAMENT,1,180,167120.0771051484,40311.1754281799,tournament/run_01/best_snakes/generation_180.dna
TOURNAMENT,1,181,167120.0771051484,45884.6572233450,
TOURNAMENT,1,182,167120.0771051484,48830.7552036984,
TOURNAMENT,1,183,167120.0771051484,55000.0487434022,
TOURNAMENT,1,184,167120.0771051484,42587.3933947927,
TOURNAMENT,1,185,167120.0771051484,43526.8455720730,tournament/run_01/best_snakes/generation_185.dna
TOURNAMENT,1,186,167120.0771051484,47065.1432801280,
TOURNAMENT,1,187,167120.0771051484,48206.8329205357,
TOURNAMENT,1,188,167120.0771051484,51409.2367529965,
TOURNAMENT,1,189,167120.0771051484,50996.5174596849,
TOURNAMENT,1,190,167120.0771051484,48013.7029576948,tournament/run_01/best_snakes/generation_190.dna
TOURNAMENT,1,191,167120.0771051484,46088.9933187248,
TOURNAMENT,2,0,18466.8115149220,2451.4503114480,tournament/run_02/best_snakes/generation_000.dna
TOURNAMENT,2,1,18466.8115149220,3633.6058100839,
TOURNAMENT,2,2,25646.2713841738,4357.4561273652,
TOURNAMENT,2,3,25646.2713841738,4312.6655369784,
TOURNAMENT,2,4,25646.2713841738,4501.6498238509,
TOURNAMENT,2,5,25646.2713841738,3553.7020727274,tournament/run_02/best_snakes/generation_005.dna
TOURNAMENT,2,6,25646.2713841738,4016.1382581542,
TOURNAMENT,2,7,41118.3728612139,4920.2617668638,
TOURNAMENT,2,8,41118.3728612139,4701.3265305994,
TOURNAMENT,2,9,41118.3728612139,5170.8986552702,
TOURNAMENT,2,10,41118.3728612139,6320.9540585090,tournament/run_02/best_snakes/generation_010.dna
TOURNAMENT,2,11,41118.3728612139,6102.7270801401,
TOURNAMENT,2,12,41118.3728612139,5699.2368705240,
TOURNAMENT,2,13,44747.5157544827,5878.3324136986,
TOURNAMENT,2,14,44747.5157544827,6329.6923996595,
TOURNAMENT,2,15,44747.5157544827,7655.6240705350,tournament/run_02/best_snakes/generation_015.dna
TOURNAMENT,2,16,44747.5157544827,8766.7766833592,
TOURNAMENT,2,17,48503.4304905813,8116.9312671265,
TOURNAMENT,2,18,48503.4304905813,8551.5563062451,
TOURNAMENT,2,19,48503.4304905813,8212.4514160367,
TOURNAMENT,2,20,48503.4304905813,8785.1929170590,tournament/run_02/best_snakes/generation_020.dna
TOURNAMENT,2,21,48503.4304905813,7939.4724470041,
TOURNAMENT,2,22,48503.4304905813,7298.9080671503,
TOURNAMENT,2,23,48503.4304905813,8793.5400975972,
TOURNAMENT,2,24,58965.5064355313,9681.5900927292,
TOURNAMENT,2,25,61811.5375174502,10212.1475266827,tournament/run_02/best_snakes/generation_025.dna
TOURNAMENT,2,26,61811.5375174502,11067.6958105720,
TOURNAMENT,2,27,61811.5375174502,9516.5455007827,
TOURNAMENT,2,28,61811.5375174502,10191.4430126884,
TOURNAMENT,2,29,61811.5375174502,10874.3536435244,
TOURNAMENT,2,30,61839.9165657375,12388.1638327970,tournament/run_02/best_snakes/generation_030.dna
TOURNAMENT,2,31,61839.9165657375,13266.7694166489,
TOURNAMENT,2,32,80342.6666050425,14085.3948761020,
TOURNAMENT,2,33,80342.6666050425,16850.2092922051,
TOURNAMENT,2,34,80342.6666050425,19944.3342299732,
TOURNAMENT,2,35,80342.6666050425,18473.7636351631,tournament/run_02/best_snakes/generation_035.dna
TOURNAMENT,2,36,80342.6666050425,20120.7351433584,
TOURNAMENT,2,37,88570.7565635589,20835.9508166675,
TOURNAMENT,2,38,88570.7565635589,25688.2322146320,
TOURNAMENT,2,39,88570.7565635589,28166.1943619379,
TOURNAMENT,2,40,88570.7565635589,25489.6108933315,tournament/run_02/best_snakes/generation_040.dna
TOURNAMENT,2,41,88570.7565635589,28136.5540371042,
TOURNAMENT,2,42,88570.7565635589,27915.3335784042,
TOURNAMENT,2,43,88570.7565635589,28220.2695920013,
TOURNAMENT,2,44,88570.7565635589,30092.6455395154,
TOURNAMENT,2,45,88570.7565635589,28675.0398133667,tournament/run_02/best_snakes/generation_045.dna
TOURNAMENT,2,46,101090.9168620756,28922.0363181858,
TOURNAMENT,2,47,101090.9168620756,25730.3983176602,
TOURNAMENT,2,48,101090.9168620756,27782.7899215070,
TOURNAMENT,2,49,101090.9168620756,27525.2964808080,
TOURNAMENT,2,50,101090.9168620756,27138.0802869037,tournament/run_02/best_snakes/generation_050.dna
TOURNAMENT,2,51,101090.9168620756,27455.6866521192,
TOURNAMENT,2,52,101090.9168620756,29799.2010812919,
TOURNAMENT,2,53,101090.9168620756,27908.5416477194,
TOURNAMENT,2,54,101090.9168620756,29806.3502405508,
TOURNAMENT,2,55,101090.9168620756,28115.2807004766,tournament/run_02/best_snakes/generation_055.dna
TOURNAMENT,2,56,101090.9168620756,25244.2504499236,
TOURNAMENT,2,57,101090.9168620756,25685.8267093430,
TOURNAMENT,2,58,101090.9168620756,30884.7620856450,
TOURNAMENT,2,59,101090.9168620756,30283.2840205030,
TOURNAMENT,2,60,101090.9168620756,31295.5361661480,tournament/run_02/best_snakes/generation_060.dna
TOURNAMENT,2,61,101090.9168620756,32114.7538191970,
TOURNAMENT,2,62,101090.9168620756,24621.1903028221,
TOURNAMENT,2,63,101090.9168620756,29031.9974728324,
TOURNAMENT,2,64,101090.9168620756,27770.9287884368,
TOURNAMENT,2,65,101090.9168620756,30558.5150322528,tournament/run_02/best_snakes/generation_065.dna
TOURNAMENT,2,66,101090.9168620756,26680.2185968596,
TOURNAMENT,2,67,105309.2211355668,31588.0498759647,
TOURNAMENT,2,68,105309.2211355668,27008.8877710418,
TOURNAMENT,2,69,105309.2211355668,27760.0652984002,
TOURNAMENT,2,70,105309.2211355668,27970.6219036836,tournament/run_02/best_snakes/generation_070.dna
TOURNAMENT,2,71,105309.2211355668,30452.0010363734,
TOURNAMENT,2,72,105309.2211355668,31664.1014812145,
TOURNAMENT,2,73,105309.2211355668,29888.3002187096,
TOURNAMENT,2,74,105309.2211355668,34702.0297336992,
TOURNAMENT,2,75,105309.2211355668,28645.5116315126,tournament/run_02/best_snakes/generation_075.dna
TOURNAMENT,2,76,105309.2211355668,33665.3273661043,
TOURNAMENT,2,77,105309.2211355668,27391.4064233639,
TOURNAMENT,2,78,107086.2387839939,32523.8963280220,
TOURNAMENT,2,79,107086.2387839939,28532.7669320966,
TOURNAMENT,2,80,107086.2387839939,35843.7692331319,tournament/run_02/best_snakes/generation_080.dna
TOURNAMENT,2,81,109865.8599906916,38658.1075898083,
TOURNAMENT,2,82,109865.8599906916,38202.8047344150,
TOURNAMENT,2,83,109865.8599906916,34671.1481477442,
TOURNAMENT,2,84,109865.8599906916,33238.9363672309,
TOURNAMENT,2,85,130522.7484178055,33614.8367805712,tournament/run_02/best_snakes/generation_085.dna
TOURNAMENT,2,86,130522.7484178055,36612.5434060734,
TOURNAMENT,2,87,130522.7484178055,38637.1138055904,
TOURNAMENT,2,88,130522.7484178055,41188.4371845194,
TOURNAMENT,2,89,130522.7484178055,36452.6586145523,
TOURNAMENT,2,90,130522.7484178055,37535.8005455229,tournament/run_02/best_snakes/generation_090.dna
TOURNAMENT,2,91,130522.7484178055,37553.7966672924,
TOURNAMENT,2,92,130522.7484178055,43151.8656345467,
TOURNAMENT,2,93,130522.7484178055,41693.7560627889,
TOURNAMENT,2,94,130522.7484178055,36479.1428561961,
TOURNAMENT,2,95,130522.7484178055,44227.7962593822,tournament/run_02/best_snakes/generation_095.dna
TOURNAMENT,2,96,130522.7484178055,41906.6171972530,
TOURNAMENT,2,97,130522.7484178055,37917.1674137908,
TOURNAMENT,2,98,130522.7484178055,44660.0158023273,
TOURNAMENT,2,99,136188.2626128097,42717.7929932826,
TOURNAMENT,2,100,136188.2626128097,45083.8087815460,tournament/run_02/best_snakes/generation_100.dna
TOURNAMENT,2,101,136188.2626128097,45333.8069430074,
TOURNAMENT,2,102,136188.2626128097,47353.0351576234,
TOURNAMENT,2,103,136188.2626128097,44094.7529589163,
TOURNAMENT,2,104,136188.2626128097,38355.1807407153,
TOURNAMENT,2,105,142133.5189983697,38594.5726498539,tournament/run_02/best_snakes/generation_105.dna
TOURNAMENT,2,106,142133.5189983697,39620.3148347475,
TOURNAMENT,2,107,148336.9073886138,42933.7948900987,
TOURNAMENT,2,108,148336.9073886138,47467.7657490617,
TOURNAMENT,2,109,148355.6259773350,42604.6832743920,
TOURNAMENT,2,110,148355.6259773350,46823.5817892771,tournament/run_02/best_snakes/generation_110.dna
TOURNAMENT,2,111,148355.6259773350,52961.8742076017,
TOURNAMENT,2,112,148355.6259773350,46111.5394424058,
TOURNAMENT,2,113,148355.6259773350,55170.9448918871,
TOURNAMENT,2,114,167113.4810830798,53932.7418763482,
TOURNAMENT,2,115,167113.4810830798,46932.5171674692,tournament/run_02/best_snakes/generation_115.dna
TOURNAMENT,2,116,167113.4810830798,54025.7307932820,
TOURNAMENT,2,117,167113.4810830798,54791.4362925699,
TOURNAMENT,2,118,167113.4810830798,50386.8132159793,
TOURNAMENT,2,119,167113.4810830798,49775.2348527716,
TOURNAMENT,2,120,167113.4810830798,50050.5163770417,tournament/run_02/best_snakes/generation_120.dna
TOURNAMENT,2,121,167113.4810830798,43811.5540584151,
TOURNAMENT,2,122,167113.4810830798,42298.6091054998,
TOURNAMENT,2,123,167113.4810830798,43626.3117343312,
TOURNAMENT,2,124,167113.4810830798,47512.1035376445,
TOURNAMENT,2,125,167113.4810830798,49813.2539208619,tournament/run_02/best_snakes/generation_125.dna
TOURNAMENT,2,126,167113.4810830798,45722.8886844413,
TOURNAMENT,2,127,167113.4810830798,44621.1979959125,
TOURNAMENT,2,128,167113.4810830798,42971.0193330486,
TOURNAMENT,2,129,167113.4810830798,44458.6066749175,
TOURNAMENT,2,130,167113.4810830798,42897.1541863226,tournament/run_02/best_snakes/generation_130.dna
TOURNAMENT,2,131,167113.4810830798,47224.2583060491,
TOURNAMENT,2,132,167113.4810830798,47292.2134810668,
